id,topology,noise_p,purification,policy,success,fidelity,hops,path,latency_ms
63,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
64,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
65,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
66,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
67,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
68,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
69,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
70,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
71,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
72,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
73,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
74,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
75,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
76,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
77,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
78,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
79,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
80,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
81,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
82,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
83,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
84,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
85,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
86,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
87,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
88,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
89,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
90,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
